,nct_id,interventions,intervention_details,Intervention_Type,Intervention_Name,ngram
0,NCT02735707,Drug: Fixed-duration Hydrocortisone,Drug:Fixed-duration Hydrocortisone:50mg of intravenous hydrocortisone will be administered every 6 hours for up to 7 days.,Drug,Fixed-duration Hydrocortisone,Hydrocortisone
1,NCT02735707,Drug: Shock-dependent hydrocortisone,Drug:Shock-dependent hydrocortisone:Patient will receive 50mg IV hydrocortisone every 6 hours while the patient is in septic shock,Drug,Shock-dependent hydrocortisone,Dependent
2,NCT02735707,Drug: Shock-dependent hydrocortisone,Drug:Shock-dependent hydrocortisone:Patient will receive 50mg IV hydrocortisone every 6 hours while the patient is in septic shock,Drug,Shock-dependent hydrocortisone,Shock
3,NCT02735707,Drug: Ceftriaxone,Drug:Ceftriaxone:The duration and dose of empiric antibiotics will be determined by the treating clinician and local guidelines or practice.,Drug,Ceftriaxone,Ceftriaxone
4,NCT02735707,Drug: Moxifloxacin or Levofloxacin,Drug:Moxifloxacin or Levofloxacin:The duration and dose of empiric antibiotics will be determined by the treating clinician and local guidelines or practice.,Drug,Moxifloxacin or Levofloxacin,Levofloxacin
5,NCT02735707,Drug: Moxifloxacin or Levofloxacin,Drug:Moxifloxacin or Levofloxacin:The duration and dose of empiric antibiotics will be determined by the treating clinician and local guidelines or practice.,Drug,Moxifloxacin or Levofloxacin,Moxifloxacin
6,NCT02735707,Drug: Piperacillin-tazobactam,Drug:Piperacillin-tazobactam:The duration and dose of empiric antibiotics will be determined by the treating clinician and local guidelines or practice.,Drug,Piperacillin-tazobactam,Tazobactam
7,NCT02735707,Drug: Piperacillin-tazobactam,Drug:Piperacillin-tazobactam:The duration and dose of empiric antibiotics will be determined by the treating clinician and local guidelines or practice.,Drug,Piperacillin-tazobactam,Piperacillin
8,NCT02735707,Drug: Ceftaroline,Drug:Ceftaroline:The duration and dose of empiric antibiotics will be determined by the treating clinician and local guidelines or practice. Ceftaroline is not available at commencement,Drug,Ceftaroline,Ceftaroline
9,NCT02735707,Drug: Amoxicillin-clavulanate,Drug:Amoxicillin-clavulanate:The duration and dose of empiric antibiotics will be determined by the treating clinician and local guidelines or practice.,Drug,Amoxicillin-clavulanate,Amoxicillin
10,NCT02735707,Drug: Amoxicillin-clavulanate,Drug:Amoxicillin-clavulanate:The duration and dose of empiric antibiotics will be determined by the treating clinician and local guidelines or practice.,Drug,Amoxicillin-clavulanate,Clavulanate
11,NCT02735707,Drug: Macrolide administered for 3-5 days,"Drug:Macrolide administered for 3-5 days:Standard course of macrolide therapy, discontinued between study day 3 and the end of study day 5. The dosing of and route of administration is not protocolised, the following guidance is provided: Initial IV administration of a macrolide is strongly preferred The preferred IV macrolide is azithromycin, but IV clarithromycin may be substituted. The preferred enteral macrolide is azithromycin, but enteral clarithromycin or roxithromycin may be substituted.",Drug,Macrolide administered for 3-5 days,3-5 Days
12,NCT02735707,Drug: Macrolide administered for 3-5 days,"Drug:Macrolide administered for 3-5 days:Standard course of macrolide therapy, discontinued between study day 3 and the end of study day 5. The dosing of and route of administration is not protocolised, the following guidance is provided: Initial IV administration of a macrolide is strongly preferred The preferred IV macrolide is azithromycin, but IV clarithromycin may be substituted. The preferred enteral macrolide is azithromycin, but enteral clarithromycin or roxithromycin may be substituted.",Drug,Macrolide administered for 3-5 days,Macrolide
13,NCT02735707,Drug: Five-days oseltamivir,Drug:Five-days oseltamivir:Oseltamivir administered enterally twice daily for 5 days or until hospital discharge (whichever occurs first),Drug,Five-days oseltamivir,Oseltamivir
14,NCT02735707,Drug: Lopinavir/ritonavir,"Drug:Lopinavir/ritonavir:Lopinavir/ritonavir 400/100mg administered enterally, or 5ml 80/20mg per mL solution suspension via gastric tube, every 12 hours. Administered for a minimum of 5 days, including if discharged from ICU prior to end of study day 5. For patients discharged from ICU between study day 6 and study day 14, lopinavir/ritonavir is ceased at ICU discharge. Lopinavir/ritonavir is ceased at the end of study day 14 if the patient remains in ICU.",Drug,Lopinavir/ritonavir,Lopinavir
